frame_id,track_id,overlay_box_index,depth_m,candidate_ttc,ground_truth_ttc,ground_confidence,closing_speed_mps,motion_residual_m,yolo_matched_class,yolo_matched_confidence,iou,semantic_score,misses,selected_center_x_norm,selected_bottom_y_norm,selected_width_norm,selected_height_norm,is_gt_danger_frame,label,annotator_notes
55,4,1,32.000,15.745,inf,0.544,2.032,0.484,,,,0.0000,46,0.3758,0.5889,0.1516,0.2167,0,,
57,4,1,17.655,11.310,inf,0.561,1.561,0.601,,,,0.0000,48,0.3602,0.5778,0.1203,0.1333,0,,
59,4,1,30.720,17.275,inf,0.653,1.778,1.165,,,,0.0000,50,0.3563,0.5778,0.1281,0.1778,0,,
61,4,1,18.506,41.000,inf,0.529,0.451,0.674,,,,0.0000,52,0.3602,0.6000,0.1578,0.2417,0,,
63,4,1,19.200,3.000,inf,0.586,6.400,2.014,,,,0.0000,54,0.3555,0.5972,0.1266,0.2250,0,,
65,4,1,18.963,1.388,inf,0.586,13.659,2.326,,,,0.0000,56,0.3516,0.5944,0.1250,0.1389,0,,
65,20,2,61.440,15.872,inf,0.586,3.871,6.486,,,,0.0000,20,0.3937,0.4194,0.0250,0.0472,0,,
67,4,1,34.133,inf,inf,0.571,-5.149,1.265,,,,0.0000,58,0.4086,0.5361,0.0516,0.1694,0,,
69,4,1,28.444,inf,inf,0.695,-21.976,3.605,,,,0.0000,60,0.3664,0.5361,0.1078,0.0611,0,,
71,4,1,32.681,inf,inf,0.592,-47.407,4.652,,,,0.0000,62,0.3805,0.5250,0.0453,0.0472,0,,
71,46,2,12.094,1.819,inf,0.592,6.648,0.061,,,,0.0000,3,0.3211,0.6389,0.0797,0.1000,0,,
73,4,1,33.391,inf,inf,0.784,-39.014,2.291,,,,0.0000,64,0.3586,0.5250,0.0797,0.0528,0,,
73,46,2,12.000,3.150,inf,0.784,3.810,0.259,,,,0.0000,5,0.2961,0.6000,0.0297,0.0389,0,,
75,4,1,35.721,inf,inf,0.597,-23.296,2.556,,,,0.0000,66,0.3836,0.5333,0.1203,0.1556,0,,
77,4,1,24.381,1.789,inf,0.602,13.629,2.586,,,,0.0000,68,0.3633,0.5417,0.1078,0.0694,0,,
77,46,2,12.288,13.005,inf,0.602,0.945,0.244,,,,0.0000,8,0.3125,0.5944,0.0563,0.0333,0,,
79,4,1,32.000,2.348,inf,0.611,13.629,2.697,,,,0.0000,70,0.3742,0.5444,0.1109,0.1750,0,,
79,46,2,12.094,24.213,inf,0.611,0.500,0.122,,,,0.0000,10,0.3203,0.6000,0.0781,0.0500,0,,
79,47,3,5.977,inf,inf,0.611,-6.099,0.189,,,,0.0000,3,0.2672,0.7139,0.0531,0.0361,0,,
81,4,1,25.180,1.292,inf,0.589,19.485,0.967,,,,0.0000,72,0.3633,0.5417,0.0984,0.0750,0,,
81,46,2,12.000,inf,inf,0.589,0.172,0.077,,,,0.0000,12,0.3086,0.5972,0.0547,0.0389,0,,
81,47,3,5.977,inf,inf,0.589,-0.930,0.117,,,,0.0000,5,0.2648,0.7222,0.0547,0.0472,0,,
83,4,1,26.034,1.416,inf,0.598,18.391,1.056,,,,0.0000,74,0.4031,0.5417,0.1156,0.0667,0,,
83,47,2,5.953,inf,inf,0.598,-0.246,0.036,,,,0.0000,7,0.2625,0.7167,0.0656,0.0417,0,,
85,4,1,24.774,3.050,inf,0.484,8.123,2.437,,,,0.0000,76,0.3852,0.5528,0.1297,0.0917,0,,
85,46,2,12.288,inf,inf,0.484,-0.000,0.098,,,,0.0000,15,0.3211,0.6000,0.0359,0.0389,0,,
85,47,3,6.000,inf,inf,0.484,-0.154,0.031,,,,0.0000,9,0.2641,0.7222,0.0688,0.0500,0,,
87,4,1,24.000,20.683,inf,0.596,1.160,0.970,,,,0.0000,78,0.3867,0.5444,0.1359,0.1000,0,,
87,47,2,6.000,inf,inf,0.596,-0.000,0.023,,,,0.0000,11,0.2703,0.7250,0.0781,0.0556,0,,
89,4,1,24.000,3.540,inf,0.609,6.780,0.339,,,,0.0000,80,0.3820,0.5528,0.1203,0.0972,0,,
89,47,2,5.953,inf,inf,0.609,0.093,0.014,,,,0.0000,13,0.2664,0.7194,0.0734,0.0417,0,,
91,4,1,18.506,1.592,inf,0.620,11.627,1.744,,,,0.0000,82,0.3430,0.5611,0.0484,0.1111,0,,
93,4,1,19.200,1.020,inf,0.602,18.820,1.036,,,,0.0000,84,0.3547,0.5889,0.1281,0.1278,0,,
93,47,2,6.024,inf,inf,0.602,-0.141,0.030,,,,0.0000,16,0.2625,0.7139,0.0625,0.0472,0,,
95,4,1,17.067,0.884,inf,0.558,19.305,0.479,,,,0.0000,86,0.3742,0.6139,0.1922,0.1472,0,,
95,47,2,6.024,inf,inf,0.558,-0.078,0.035,,,,0.0000,18,0.2687,0.7222,0.0813,0.0694,0,,
97,4,1,49.548,6.885,inf,0.674,7.197,2.081,,,,0.0000,88,0.4148,0.5389,0.1078,0.0778,0,,
97,47,2,5.953,inf,inf,0.674,-0.152,0.047,,,,0.0000,20,0.2664,0.7444,0.0703,0.0806,0,,
99,4,1,42.667,inf,inf,0.615,-44.912,3.930,,,,0.0000,90,0.3805,0.5167,0.1141,0.0611,0,,
99,47,2,6.024,inf,inf,0.615,-0.000,0.024,,,,0.0000,22,0.2641,0.7111,0.0625,0.0472,0,,
99,58,3,15.673,inf,inf,0.615,-21.406,0.227,,,,0.0000,2,0.3055,0.5750,0.0141,0.0528,0,,
101,4,1,30.720,inf,inf,0.594,-62.614,4.411,,,,0.0000,92,0.3758,0.5333,0.1203,0.0639,0,,
101,47,2,5.953,inf,inf,0.594,0.095,0.009,,,,0.0000,24,0.2586,0.7250,0.0547,0.0583,0,,
101,58,3,14.092,inf,inf,0.594,-5.078,0.319,,,,0.0000,4,0.2992,0.5806,0.0203,0.0500,0,,
103,4,1,34.133,inf,inf,0.602,-35.695,5.703,,,,0.0000,94,0.3688,0.5194,0.1000,0.0472,0,,
103,47,2,5.977,inf,inf,0.602,0.094,0.009,,,,0.0000,26,0.2625,0.7250,0.0656,0.0611,0,,
103,58,3,12.473,16.167,inf,0.602,0.771,0.732,,,,0.0000,6,0.3359,0.5861,0.0125,0.0389,0,,
105,4,1,38.400,inf,inf,0.565,-0.000,4.267,,,,0.0000,96,0.3891,0.5278,0.1437,0.0583,0,,
105,47,2,5.242,inf,inf,0.565,0.156,0.024,,,,0.0000,28,0.2477,0.8139,0.1297,0.1500,0,,
105,58,3,12.190,3.200,inf,0.565,3.810,0.132,,,,0.0000,8,0.3250,0.6000,0.0906,0.0444,0,,
107,4,1,28.444,1.000,inf,0.510,28.444,3.525,,,,0.0000,98,0.3953,0.5361,0.1688,0.1222,0,,
107,47,2,6.095,inf,inf,0.510,-0.000,0.023,,,,0.0000,30,0.2687,0.7111,0.0750,0.0472,0,,
109,4,1,46.545,9.409,inf,0.534,4.947,3.908,,,,0.0000,100,0.3945,0.5167,0.1422,0.1000,0,,
109,47,2,6.095,inf,inf,0.534,-0.000,0.023,,,,0.0000,32,0.2695,0.7083,0.0734,0.0500,0,,
111,4,1,31.347,inf,inf,0.379,-10.685,2.019,,,,0.0000,102,0.3961,0.5361,0.1672,0.0750,0,,
111,47,2,6.021,inf,inf,0.379,-0.111,0.040,,,,0.0000,34,0.2727,0.7444,0.0859,0.0861,0,,
113,4,1,29.538,5.971,inf,0.499,4.947,3.166,,,,0.0000,104,0.3758,0.5333,0.1266,0.0694,0,,
113,47,2,5.525,inf,inf,0.499,-0.061,0.044,,,,0.0000,36,0.2531,0.7917,0.1187,0.1333,0,,
115,4,1,30.118,3.624,inf,0.530,8.312,2.909,,,,0.0000,106,0.3789,0.5361,0.1328,0.0722,0,,
115,47,2,6.269,inf,inf,0.530,-0.588,0.133,,,,0.0000,38,0.2891,0.7194,0.0938,0.1000,0,,
117,4,1,26.034,1.139,inf,0.467,22.857,1.546,,,,0.0000,108,0.3773,0.5389,0.1328,0.0750,0,,
117,47,2,5.189,inf,inf,0.467,0.192,0.052,,,,0.0000,40,0.2430,0.8194,0.1266,0.1583,0,,
119,4,1,26.947,1.179,inf,0.511,22.857,1.798,,,,0.0000,110,0.3914,0.5306,0.1547,0.0611,0,,
119,47,2,5.069,2.580,inf,0.511,1.965,0.175,,,,0.0000,42,0.2305,0.8194,0.1016,0.1611,0,,
121,4,1,25.600,2.019,inf,0.513,12.681,0.673,,,,0.0000,112,0.3914,0.5389,0.1672,0.0889,0,,
123,4,1,25.180,1.986,inf,0.367,12.681,0.769,,,,0.0000,114,0.3969,0.5361,0.1688,0.0806,0,,
123,69,2,6.071,0.533,inf,0.367,11.393,0.890,,,,0.0000,2,0.2500,0.7111,0.0375,0.0389,0,,
125,4,1,27.429,5.089,inf,0.414,5.389,0.808,,,,0.0000,116,0.3883,0.5500,0.1547,0.0972,0,,
127,4,1,29.538,inf,inf,0.554,-1.925,1.732,,,,0.0000,118,0.3906,0.5444,0.1688,0.0972,0,,
130,4,1,26.483,inf,inf,0.561,-1.604,1.267,,,,0.0000,120,0.3906,0.5528,0.1719,0.1028,0,,
132,4,1,28.981,inf,inf,0.647,-8.123,1.086,,,,0.0000,122,0.3859,0.5528,0.1688,0.1000,0,,
134,4,1,27.927,inf,inf,0.621,-2.943,1.348,,,,0.0000,124,0.3820,0.6028,0.1891,0.1472,0,,
136,4,1,29.538,7.808,inf,0.590,3.783,1.990,,,,0.0000,126,0.3953,0.5500,0.1406,0.0944,0,,
138,4,1,21.634,4.371,inf,0.583,4.950,1.732,,,,0.0000,128,0.3703,0.5528,0.1250,0.0917,0,,
140,4,1,24.381,2.440,inf,0.488,9.993,2.895,,,,0.0000,130,0.3922,0.6000,0.1531,0.1389,0,,
142,4,1,31.347,inf,inf,0.459,-2.787,3.129,,,,0.0000,132,0.4062,0.5333,0.1156,0.0778,0,,
142,77,2,12.288,29.760,inf,0.459,0.413,0.021,,,,0.0000,2,0.3102,0.5972,0.0547,0.0972,0,,
144,4,1,31.347,inf,inf,0.539,-8.662,2.371,,,,0.0000,134,0.3891,0.5500,0.1625,0.1250,0,,
146,4,1,12.488,inf,inf,0.329,-0.000,3.237,,,,0.0000,136,0.3742,0.6028,0.1891,0.1472,0,,
148,4,1,34.909,inf,inf,0.357,-14.185,2.128,,,,0.0000,138,0.4078,0.5556,0.1656,0.1250,0,,
150,4,1,21.943,3.150,inf,0.262,6.966,3.788,,,,0.0000,140,0.3766,0.6000,0.1938,0.1528,0,,
152,4,1,19.200,0.802,inf,0.378,23.938,2.536,,,,0.0000,142,0.3742,0.5972,0.1828,0.1389,0,,
154,4,1,20.480,1.262,inf,0.375,16.225,2.560,,,,0.0000,144,0.3734,0.5944,0.1812,0.1361,0,,
156,4,1,16.696,inf,inf,0.360,-0.000,2.434,,,,0.0000,146,0.3734,0.6056,0.1906,0.1500,0,,
158,4,1,13.357,0.920,inf,0.421,14.510,1.888,,,,0.0000,148,0.3641,0.5972,0.1656,0.1472,0,,
160,4,1,18.495,2.033,inf,0.405,9.096,1.833,,,,0.0000,150,0.3586,0.5889,0.1453,0.1528,0,,
162,4,1,12.190,0.857,inf,0.419,14.222,0.328,,,,0.0000,152,0.3578,0.5917,0.1437,0.1444,0,,
164,4,1,12.288,0.745,inf,0.319,16.490,1.426,,,,0.0000,154,0.3523,0.5944,0.1328,0.1389,0,,
166,4,1,18.732,6.111,inf,0.545,3.065,1.572,,,,0.0000,156,0.3812,0.6028,0.2031,0.1556,0,,
166,90,2,6.000,inf,inf,0.545,-2.823,0.250,,,,0.0000,4,0.2664,0.7139,0.0734,0.0333,0,,
168,4,1,20.211,inf,inf,0.551,-0.975,1.361,,,,0.0000,158,0.3773,0.6056,0.1984,0.1722,0,,
170,4,1,22.261,inf,inf,0.590,-14.788,2.173,,,,0.0000,160,0.4258,0.6111,0.2641,0.1778,0,,
172,4,1,20.211,inf,inf,0.494,-16.525,1.555,,,,0.0000,162,0.3805,0.6056,0.2016,0.1667,0,,
174,4,1,17.860,inf,inf,0.440,-14.788,2.209,,,,0.0000,164,0.4641,0.6000,0.3438,0.1833,0,,
176,4,1,12.288,inf,inf,0.528,-3.122,1.497,,,,0.0000,166,0.3789,0.6611,0.2328,0.2417,0,,
178,4,1,18.071,4.222,inf,0.511,4.280,1.066,,,,0.0000,168,0.3750,0.5944,0.1812,0.1417,0,,
180,4,1,12.190,1.164,inf,0.490,10.476,2.305,,,,0.0000,170,0.3492,0.7139,0.2391,0.2889,0,,
182,4,1,23.631,inf,inf,0.551,-2.387,2.227,,,,0.0000,172,0.3852,0.5917,0.1828,0.1944,0,,
182,102,2,12.387,inf,inf,0.551,-28.892,0.655,,,,0.0000,2,0.6937,0.6000,0.0500,0.0333,0,,
184,4,1,16.168,inf,inf,0.489,-4.305,3.408,,,,0.0000,174,0.3758,0.6028,0.1922,0.1556,0,,
184,103,2,6.024,inf,inf,0.489,-8.430,0.493,,,,0.0000,3,0.2578,0.7111,0.0563,0.0944,0,,
186,4,1,26.483,inf,inf,0.517,-12.603,3.040,,,,0.0000,176,0.3836,0.6083,0.1797,0.1833,0,,
186,102,2,12.190,inf,inf,0.517,-20.450,0.012,,,,0.0000,3,0.6930,0.6083,0.0609,0.0389,0,,
186,103,3,6.047,inf,inf,0.517,-6.746,0.341,,,,0.0000,4,0.2984,0.7194,0.1437,0.1250,0,,
188,4,1,20.757,inf,inf,0.587,-6.163,3.594,,,,0.0000,178,0.3734,0.5944,0.1656,0.2000,0,,
188,102,2,6.000,inf,inf,0.587,-20.157,0.064,,,,0.0000,4,0.7203,0.7083,0.0469,0.0500,0,,
188,103,3,6.000,inf,inf,0.587,-5.433,0.591,,,,0.0000,5,0.2711,0.6500,0.0141,0.0556,0,,
190,4,1,19.948,inf,inf,0.502,-2.109,3.507,,,,0.0000,180,0.3828,0.6000,0.1812,0.1694,0,,
190,103,2,6.000,inf,inf,0.502,-4.509,0.574,,,,0.0000,6,0.2648,0.6611,0.0234,0.0639,0,,
190,104,3,6.047,10.898,inf,0.502,0.555,0.361,,,,0.0000,9,0.2992,0.6611,0.0078,0.0750,0,,
192,4,1,19.443,inf,inf,0.539,-0.000,3.151,,,,0.0000,182,0.3836,0.6028,0.1828,0.2056,0,,
192,102,2,6.024,inf,inf,0.539,-0.314,0.165,,,,0.0000,7,0.7125,0.7167,0.1219,0.0389,0,,
194,4,1,19.692,inf,inf,0.502,-1.845,1.683,,,,0.0000,184,0.3820,0.6000,0.1734,0.2000,0,,
194,103,2,6.000,inf,inf,0.502,-0.000,0.024,,,,0.0000,9,0.2672,0.6611,0.0156,0.0417,0,,
196,4,1,21.041,2.512,inf,0.551,8.378,2.150,,,,0.0000,186,0.4727,0.5806,0.3609,0.1889,0,,
196,103,2,6.000,inf,inf,0.551,-0.000,0.000,,,,0.0000,11,0.2594,0.6722,0.0156,0.0528,0,,
198,4,1,20.605,5.807,inf,0.558,3.548,1.704,,,,0.0000,188,0.3758,0.6167,0.1859,0.1722,0,,
200,4,1,22.925,10.473,inf,0.529,2.189,1.568,,,,0.0000,190,0.3805,0.6028,0.1766,0.1917,0,,
200,103,2,6.000,inf,inf,0.529,-0.000,0.000,,,,0.0000,12,0.2531,0.7139,0.0312,0.0972,0,,
202,4,1,24.381,inf,inf,0.552,-4.848,1.779,,,,0.0000,192,0.3875,0.6056,0.1969,0.2028,0,,
202,103,2,6.000,inf,inf,0.552,-0.000,0.000,,,,0.0000,14,0.2734,0.6556,0.0344,0.0639,0,,
204,4,1,22.261,inf,inf,0.536,-10.443,2.046,,,,0.0000,194,0.3773,0.6056,0.1859,0.2028,0,,
204,103,2,6.024,inf,inf,0.536,-0.000,0.000,,,,0.0000,16,0.2508,0.7167,0.0359,0.0972,0,,
206,4,1,18.963,7.415,inf,0.584,2.557,0.474,,,,0.0000,196,0.3648,0.5972,0.1578,0.1472,0,,
206,103,2,6.000,inf,inf,0.584,-0.000,0.000,,,,0.0000,18,0.2609,0.7083,0.0594,0.0917,0,,
208,4,1,17.067,3.900,inf,0.512,4.377,0.219,,,,0.0000,198,0.3758,0.6000,0.1828,0.2083,0,,
208,103,2,6.000,inf,inf,0.512,-0.000,0.000,,,,0.0000,20,0.2641,0.6667,0.0250,0.0694,0,,
210,4,1,16.000,1.350,inf,0.432,11.852,0.593,,,,0.0000,200,0.3820,0.6000,0.1797,0.2167,0,,
210,103,2,6.024,inf,inf,0.432,-0.059,0.018,,,,0.0000,21,0.2602,0.6611,0.0141,0.0417,0,,
212,4,1,12.288,0.586,inf,0.577,20.952,1.004,,,,0.0000,202,0.4625,0.7111,0.4281,0.3139,0,,
214,4,1,12.288,0.662,inf,0.501,18.560,0.749,,,,0.0000,204,0.3781,0.6000,0.1750,0.2139,0,,
214,103,2,6.000,inf,inf,0.501,-0.000,0.000,,,,0.0000,23,0.2625,0.6694,0.0187,0.0611,0,,
216,4,1,28.981,2.216,inf,0.488,13.078,0.817,,,,0.0000,206,0.3891,0.6028,0.1969,0.2444,0,,
216,103,2,6.000,inf,inf,0.488,-0.000,0.000,,,,0.0000,25,0.2711,0.6417,0.0203,0.0500,0,,
218,4,1,35.721,inf,inf,0.486,-16.804,4.298,,,,0.0000,208,0.4031,0.5250,0.1562,0.1556,0,,
218,103,2,6.169,inf,inf,0.486,-0.000,0.024,,,,0.0000,27,0.2430,0.7083,0.0234,0.0333,0,,
220,4,1,30.720,inf,inf,0.562,-38.060,4.310,,,,0.0000,210,0.4789,0.6028,0.3922,0.2444,0,,
222,4,1,28.444,inf,inf,0.561,-34.478,3.448,,,,0.0000,212,0.3656,0.6500,0.2125,0.2917,0,,
222,103,2,6.000,inf,inf,0.561,-0.000,0.000,,,,0.0000,28,0.2570,0.7111,0.0547,0.0333,0,,
224,4,1,27.020,inf,inf,0.505,-14.987,4.522,,,,0.0000,214,0.3875,0.6028,0.1875,0.2194,0,,
224,103,2,6.000,inf,inf,0.505,-0.000,0.000,,,,0.0000,29,0.2664,0.6528,0.0203,0.0556,0,,
226,4,1,22.723,3.554,inf,0.531,6.393,3.061,,,,0.0000,216,0.4609,0.6639,0.4188,0.2639,0,,
228,4,1,25.600,2.700,inf,0.517,9.481,1.931,,,,0.0000,218,0.3836,0.5944,0.1922,0.2222,0,,
230,4,1,25.180,4.107,inf,0.534,6.131,0.992,,,,0.0000,220,0.3633,0.6667,0.1922,0.2917,0,,
232,4,1,24.000,3.179,inf,0.479,7.549,0.468,,,,0.0000,222,0.4289,0.5972,0.2672,0.2389,0,,
232,103,2,6.047,inf,inf,0.479,-0.032,0.029,,,,0.0000,33,0.2602,0.7167,0.0672,0.1361,0,,
234,4,1,22.925,2.571,inf,0.409,8.915,0.364,,,,0.0000,224,0.3875,0.6028,0.1812,0.2444,0,,
234,103,2,6.047,inf,inf,0.409,-0.028,0.031,,,,0.0000,35,0.2477,0.7167,0.0391,0.0417,0,,
236,4,1,17.860,1.420,inf,0.447,12.577,0.915,,,,0.0000,226,0.4688,0.6667,0.4219,0.3000,0,,
238,4,1,17.258,0.752,inf,0.578,22.949,0.632,,,,0.0000,228,0.4688,0.6639,0.4156,0.2806,0,,
238,103,2,6.120,inf,inf,0.578,-0.043,0.026,,,,0.0000,38,0.2445,0.7111,0.0297,0.0333,0,,
240,4,1,11.815,0.474,inf,0.558,24.946,0.459,,,,0.0000,230,0.3555,0.7083,0.2453,0.3278,0,,
242,4,1,12.000,0.456,inf,0.512,26.292,0.881,,,,0.0000,232,0.3477,0.7083,0.2297,0.3333,0,,
244,4,1,10.667,0.517,inf,0.514,20.645,0.645,,,,0.0000,234,0.3508,0.7167,0.2484,0.3583,0,,
247,4,1,11.549,0.866,inf,0.520,13.333,0.948,,,,0.0000,236,0.3484,0.7139,0.2406,0.3556,0,,
247,124,2,61.440,inf,inf,0.520,-2.363,1.004,,,,0.0000,2,0.6023,0.5139,0.1609,0.1028,0,,
250,4,1,10.521,0.972,inf,0.365,10.827,1.472,,,,0.0000,238,0.3516,0.7167,0.2500,0.3361,0,,
252,4,1,10.449,3.368,inf,0.552,3.102,0.495,,,,0.0000,240,0.4391,0.7861,0.4875,0.4278,0,,
255,4,1,10.741,5.320,inf,0.526,2.019,0.595,,,,0.0000,243,0.3477,0.7111,0.2359,0.3528,0,,
